Purdue, 28.0
Michigan St., 26.3
Villanova, 25.7
Duke, 25.6
Virginia, 23.9
Texas Tech, 23.7
Kansas, 23.7
Gonzaga, 23.3
North Carolina, 22.7
Oklahoma, 20.8
West Virginia, 20.4
Wichita St., 20.2
Tennessee, 20.1
Xavier, 19.8
Cincinnati, 19.7
Ohio St., 19.6
Arizona St., 19.3
Creighton, 19.2
Michigan, 18.6
Arkansas, 18.4
Clemson, 17.8
TCU, 17.5
Auburn, 17.5
Arizona, 17.4
Texas A&M, 17.3
Florida, 17.3
Kentucky, 17.2
Notre Dame, 17.2
Florida St., 17.0
Nevada, 16.8
Seton Hall, 16.5
Missouri, 16.1
Louisville, 15.5
Maryland, 15.2
Baylor, 15.1
Saint Mary's, 14.9
SMU, 14.9
Marquette, 14.8
Butler, 14.6
Texas, 14.6
Rhode Island, 14.6
Miami FL, 14.1
Boise St., 14.0
Virginia Tech, 14.0
Houston, 13.9
LSU, 13.7
USC, 13.3
San Diego St., 13.3
Western Kentucky, 13.2
Syracuse, 13.1
Oregon, 12.9
Penn St., 12.8
Kansas St., 12.8
UCLA, 12.5
North Carolina St., 12.4
Alabama, 12.1
Oklahoma St., 11.9
UNLV, 11.7
Providence, 11.6
Minnesota, 11.5
Georgia, 10.6
Northwestern, 10.4
St. John's, 10.3
Illinois, 10.0
Boston College, 9.8
New Mexico St., 9.7
BYU, 9.7
Middle Tennessee, 9.7
Mississippi St., 9.4
Nebraska, 9.1
Wake Forest, 9.1
St. Bonaventure, 9.0
Utah, 9.0
Indiana, 8.7
Davidson, 8.6
Wisconsin, 8.6
South Carolina, 8.4
Old Dominion, 8.3
Vanderbilt, 8.3
Mississippi, 8.2
Iowa, 8.2
Murray St., 8.1
UAB, 8.0
Louisiana Lafayette, 7.8
East Tennessee St., 7.6
South Dakota, 7.6
Northern Kentucky, 7.5
Buffalo, 7.4
Missouri St., 7.4
Fresno St., 7.4
Washington, 7.3
UCF, 7.3
Temple, 7.3
Oregon St., 7.3
South Dakota St., 7.1
Stanford, 6.8
Grand Canyon, 6.6
Colorado, 6.5
Georgetown, 6.4
Northern Iowa, 6.3
DePaul, 6.2
Iowa St., 6.1
Belmont, 6.1
Rutgers, 5.9
Dayton, 5.9
VCU, 5.9
UT Arlington, 5.7
San Diego, 5.4
Vermont, 5.4
Utah Valley, 5.3
Portland St., 5.1
Montana, 5.0
Furman, 4.9
Loyola Chicago, 4.8
Washington St., 4.6
Wyoming, 4.5
Georgia Tech, 4.5
Tulsa, 4.4
New Mexico, 4.2
Florida Gulf Coast, 4.2
Idaho, 3.9
UNC Greensboro, 3.8
Tulane, 3.8
Connecticut, 3.7
Towson, 3.6
San Francisco, 3.5
Bucknell, 3.4
UC Santa Barbara, 3.1
La Salle, 2.9
Iona, 2.9
Duquesne, 2.7
Mercer, 2.7
Indiana St., 2.6
Rider, 2.6
Princeton, 2.5
Stephen F. Austin, 2.4
Bradley, 2.4
Georgia Southern, 2.4
Toledo, 2.4
Utah St., 2.2
Louisiana Tech, 2.1
Memphis, 2.1
Penn, 2.0
Marshall, 2.0
Massachusetts, 2.0
North Dakota St., 1.9
Northern Colorado, 1.8
UC Davis, 1.8
Wofford, 1.7
Northeastern, 1.5
Saint Joseph's, 1.5
Jacksonville St., 1.4
Southern Illinois, 1.3
Georgia St., 1.2
Oakland, 1.2
Ohio, 1.1
Ball St., 1.1
Valparaiso, 0.9
College of Charleston, 0.8
Troy, 0.7
Wright St., 0.6
Canisius, 0.3
Hawaii, 0.3
William & Mary, 0.2
Saint Louis, 0.2
Central Michigan, 0.1
Pacific, -0.0
Weber St., -0.1
Evansville, -0.1
Albany, -0.1
Drake, -0.2
Hofstra, -0.5
Eastern Washington, -0.6
Western Michigan, -0.7
Illinois St., -0.7
Coastal Carolina, -0.8
Austin Peay, -1.0
Liberty, -1.1
Radford, -1.2
Colorado St., -1.2
UTSA, -1.6
Monmouth, -1.6
North Texas, -1.6
Cal St. Fullerton, -1.6
Fort Wayne, -1.7
George Washington, -1.7
Seattle, -1.9
Pittsburgh, -1.9
California, -2.1
Elon, -2.1
Harvard, -2.4
Winthrop, -2.4
UC Irvine, -2.5
Loyola Marymount, -2.9
UTEP, -3.0
George Mason, -3.0
Robert Morris, -3.1
Saint Peter's, -3.2
Richmond, -3.3
UMBC, -3.4
Eastern Michigan, -3.4
Stony Brook, -3.4
UNC Asheville, -3.5
