Villanova, 27.5
Purdue, 26.1
Kansas, 25.9
Michigan St., 25.7
North Carolina, 24.9
Arizona St., 24.3
Xavier, 24.0
Texas A&M, 23.9
Virginia, 23.4
Duke, 22.6
West Virginia, 22.4
Gonzaga, 22.4
Texas Tech, 22.1
Wichita St., 22.0
Arkansas, 21.9
Tennessee, 20.6
Cincinnati, 19.7
Oklahoma, 19.6
TCU, 19.5
Missouri, 19.1
Florida St., 18.8
UNLV, 18.7
Seton Hall, 18.5
Baylor, 18.4
Virginia Tech, 18.3
Creighton, 18.3
Florida, 18.0
Arizona, 17.6
Nevada, 17.4
Miami FL, 17.3
Ohio St., 16.8
Boise St., 16.3
Maryland, 16.1
St. John's, 15.8
SMU, 15.7
Texas, 15.5
Michigan, 15.5
Clemson, 15.4
Kentucky, 15.3
Oklahoma St., 15.0
Penn St., 14.9
Louisville, 14.9
Oregon, 14.7
Houston, 14.4
Western Kentucky, 14.4
USC, 14.1
Minnesota, 13.9
Notre Dame, 13.9
Syracuse, 13.7
Rhode Island, 13.7
Northwestern, 13.4
Northern Iowa, 13.3
Auburn, 13.3
Kansas St., 13.3
Alabama, 12.7
Butler, 12.4
San Diego St., 12.0
North Carolina St., 11.8
Illinois, 11.3
Temple, 11.2
Utah, 11.2
Marquette, 11.0
Wisconsin, 10.5
Wake Forest, 10.2
Middle Tennessee, 10.1
Rutgers, 10.0
Saint Mary's, 9.8
Mississippi St., 9.7
South Carolina, 9.7
Old Dominion, 9.6
Iowa St., 9.6
Providence, 9.5
Fresno St., 9.5
Nebraska, 9.4
Boston College, 9.2
UCLA, 9.1
UT Arlington, 8.9
South Dakota, 8.8
VCU, 8.7
BYU, 8.4
St. Bonaventure, 8.1
New Mexico St., 7.8
Davidson, 7.8
UNC Greensboro, 7.8
Missouri St., 7.7
Belmont, 7.6
Tulsa, 7.5
Murray St., 7.3
Towson, 7.0
UAB, 6.8
LSU, 6.5
Washington, 6.5
Indiana, 6.3
Grand Canyon, 6.2
UCF, 6.2
Vanderbilt, 6.2
Northern Kentucky, 5.8
Iowa, 5.8
Portland St., 5.8
Louisiana Lafayette, 5.4
San Diego, 5.4
South Dakota St., 5.3
Georgia Southern, 5.2
UC Santa Barbara, 5.2
Mississippi, 5.2
Louisiana Tech, 5.2
La Salle, 5.1
Buffalo, 4.9
Vermont, 4.9
Colorado, 4.8
DePaul, 4.7
Bradley, 4.5
Loyola Chicago, 4.4
Connecticut, 4.3
Jacksonville St., 4.3
Dayton, 4.3
Tulane, 4.3
Liberty, 4.2
Georgia Tech, 4.2
Oregon St., 4.0
